JobID,FRICTION,BHF,THICKNESS,INITIAL_STRESS,SATURATION,GROWTH_RATE,POWER,MAX_STRESS,AVE_STRESS,VAR_STRESS,AVE_DIST
job41, 0.13333333333333333, 0.01, 1.5, 100, 130, 7.98, 0.84, 129.515686035, 29.0016856236, 687.457498219, 8.646244261
job42, 0.13333333333333333, 0.12, 1.5, 100, 130, 7.98, 0.84, 126.557998657, 29.0122666772, 579.577202573, 8.42842822605
job43, 0.13333333333333333, 0.23, 1.5, 100, 130, 7.98, 0.84, 127.66178894, 28.8225074772, 626.096338163, 8.29098510742
job44, 0.13333333333333333, 0.34, 1.5, 100, 130, 7.98, 0.84, 127.704124451, 28.9710073745, 628.686492633, 8.18942769368
job45, 0.13333333333333333, 0.45, 1.5, 100, 130, 7.98, 0.84, 127.742752075, 28.5880029157, 647.756228043, 8.10281774733
job46, 0.13333333333333333, 0.56, 1.5, 100, 130, 7.98, 0.84, 128.623336792, 28.2660408486, 641.548754694, 8.0245836046
job47, 0.13333333333333333, 0.67, 1.5, 100, 130, 7.98, 0.84, 128.642929077, 28.5226373643, 633.334433229, 7.95127275255
job48, 0.13333333333333333, 0.78, 1.5, 100, 130, 7.98, 0.84, 128.662811279, 28.4720659685, 625.366989843, 7.88181410895
job49, 0.13333333333333333, 0.89, 1.5, 100, 130, 7.98, 0.84, 128.630142212, 28.7817399704, 637.796366363, 7.81485960219
job50, 0.13333333333333333, 1.0, 1.5, 100, 130, 7.98, 0.84, 128.76109314, 28.7488460767, 650.871858193, 7.74715529548
job51, 0.16666666666666666, 0.01, 1.5, 100, 130, 7.98, 0.84, 129.341552734, 29.5394939774, 658.403187736, 8.59948391385
job52, 0.16666666666666666, 0.12, 1.5, 100, 130, 7.98, 0.84, 127.652526855, 28.9964800476, 578.42534424, 8.36722437541
job53, 0.16666666666666666, 0.23, 1.5, 100, 130, 7.98, 0.84, 127.711334229, 29.0129109192, 613.768966283, 8.21828312344
job54, 0.16666666666666666, 0.34, 1.5, 100, 130, 7.98, 0.84, 128.303970337, 28.6477693817, 637.10763317, 8.10346412659
job55, 0.16666666666666666, 0.45, 1.5, 100, 130, 7.98, 0.84, 128.644165039, 27.8648973795, 610.969392376, 8.00309986538
job56, 0.16666666666666666, 0.56, 1.5, 100, 130, 7.98, 0.84, 128.670715332, 28.0963599312, 601.567621278, 7.91338411967
job57, 0.16666666666666666, 0.67, 1.5, 100, 130, 7.98, 0.84, 128.701202393, 28.3315480757, 593.534074347, 7.82849587335
job58, 0.16666666666666666, 0.78, 1.5, 100, 130, 7.98, 0.84, 128.732620239, 28.643551873, 627.934108258, 7.74528588189
job59, 0.16666666666666666, 0.89, 1.5, 100, 130, 7.98, 0.84, 128.5103302, 27.3096928298, 632.024998971, 7.6606886122
job60, 0.16666666666666666, 1.0, 1.5, 100, 130, 7.98, 0.84, 128.154144287, 26.5908705181, 617.367598836, 7.57632573446
job61, 0.2, 0.01, 1.5, 100, 130, 7.98, 0.84, 129.552963257, 29.8847250369, 629.915798262, 8.55059814453
job62, 0.2, 0.12, 1.5, 100, 130, 7.98, 0.84, 127.69808197, 29.0719698447, 569.003799217, 8.3089044359
job63, 0.2, 0.23, 1.5, 100, 130, 7.98, 0.84, 128.305877686, 28.4582110306, 600.226587572, 8.14380349053
job64, 0.2, 0.34, 1.5, 100, 130, 7.98, 0.84, 128.339553833, 28.1764974919, 575.569320002, 8.01912371318
job65, 0.2, 0.45, 1.5, 100, 130, 7.98, 0.84, 128.242446899, 27.5751697202, 564.201797479, 7.90212313334
job66, 0.2, 0.56, 1.5, 100, 130, 7.98, 0.84, 128.219680786, 28.1954080999, 581.079922828, 7.79724269443
job67, 0.2, 0.67, 1.5, 100, 130, 7.98, 0.84, 128.602767944, 28.1249201095, 570.242135563, 7.6939845615
job68, 0.2, 0.78, 1.5, 100, 130, 7.98, 0.84, 128.726760864, 27.7759504247, 580.432957886, 7.58863215976
